Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Gender
655892015863f22617206e83,5e2228e12de14b000a50edc7,APPROVED,2023-11-18T10:29:41.996000Z,2023-11-18T10:53:38.947000Z,2023-11-18T11:21:50.070000Z,2023-11-18T10:53:39.396096Z,1437.0,CBCT4R5Q,357,"English, Italian",White/Caucasian,56,Male,White,Australia,Italy,Australia,English,No,Part-Time,
65589274636ef499cb5df529,5d8a62e934146e001a8ea16d,APPROVED,2023-11-18T10:31:19.046000Z,2023-11-18T10:47:40.621000Z,2023-11-18T11:21:51.819000Z,2023-11-18T10:47:41.194296Z,982.0,CBCT4R5Q,1076,English,White/Caucasian,47,Male,White,United Kingdom,Greece,United Kingdom,English,No,Part-Time,
655892c1be1790ca0d743176,646cc5b2ee56fab32907947d,APPROVED,2023-11-18T10:32:37.439000Z,2023-11-18T10:41:24.852000Z,2023-11-18T11:22:02.679000Z,2023-11-18T10:41:25.412179Z,528.0,CBCT4R5Q,142,English,White/Caucasian,57,Male,White,South Africa,South Africa,South Africa,English,No,Part-Time,
655893181dcc39ed7fe0a9b6,5f6082b78a557701b7b8fbf2,APPROVED,2023-11-18T10:34:03.915000Z,2023-11-18T10:46:29.702000Z,2023-11-18T11:22:09.163000Z,2023-11-18T10:46:30.195734Z,746.0,CBCT4R5Q,389,English,White/Caucasian,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65589336d6ad4e548cb8b9b1,60aa4b9356c591511cc09f5f,APPROVED,2023-11-18T10:34:30.754000Z,2023-11-18T10:47:12.365000Z,2023-11-18T11:22:11.075000Z,2023-11-18T10:47:12.860600Z,762.0,CBCT4R5Q,390,"Greek, English",White/Caucasian,52,Male,White,Greece,Greece,Greece,Greek,No,Full-Time,
6558933df251c4b4cf49b9a3,617134f939b0aa685b96bb14,APPROVED,2023-11-18T10:34:37.828000Z,2023-11-18T10:44:37.124000Z,2023-11-18T11:22:14.018000Z,2023-11-18T10:44:37.745611Z,600.0,CBCT4R5Q,713,"Spanish, English",Latino/Hispanic,47,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time,
6558934369f4afa763da35be,5cefbe6f1234ed0001970821,APPROVED,2023-11-18T10:34:43.965000Z,2023-11-18T10:51:05.945000Z,2023-11-18T11:22:16.848000Z,2023-11-18T10:51:06.457652Z,982.0,CBCT4R5Q,283,"Galician, English, Spanish",Latino/Hispanic,46,Male,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking),
6558936d0b526b963e4e4832,595a692b62431800019d63bf,APPROVED,2023-11-18T10:35:25.531000Z,2023-11-18T10:46:33.811000Z,2023-11-18T11:22:18.621000Z,2023-11-18T10:46:34.304341Z,669.0,CBCT4R5Q,282,"English, Greek",White/Caucasian,46,Male,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,DATA_EXPIRED,
6558938ddd30b2834193409e,5ecee03e0e92803029b7ad82,APPROVED,2023-11-18T10:36:04.355000Z,2023-11-18T10:41:06.879000Z,2023-11-18T11:22:20.283000Z,2023-11-18T10:41:07.425240Z,303.0,CBCT4R5Q,1016,"Basque, English, Spanish",Latino/Hispanic,47,Male,White,Spain,Spain,Spain,Spanish,Yes,Full-Time,
65589146f1e1f5717c743044,6050cb50a965d6a6eb12361e,APPROVED,2023-11-18T10:26:44.229000Z,2023-11-18T10:36:20.566000Z,2023-11-18T11:21:44.125000Z,2023-11-18T10:36:21.104014Z,577.0,CBCT4R5Q,408,"Dutch, English",White/Caucasian,63,Female,White,United Kingdom,Netherlands,United Kingdom,English,DATA_EXPIRED,Other,
