Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65d4deefc5423596d435a22a,5fa1192cf99e161a5cfad1cd,APPROVED,Not Applicable,2024-02-20T17:18:39.217000Z,2024-02-20T17:26:12.234000Z,2024-02-22T17:08:17.046000Z,2024-02-20T17:26:12.884601Z,454.0,CBCT4R5Q,131,"English, German",Latino/Hispanic,21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
65d4defd6cf3d4935af81f1a,5f2c3cb1c58e050be52d9161,APPROVED,Not Applicable,2024-02-20T17:18:53.385000Z,2024-02-20T17:29:27.939000Z,2024-02-22T17:08:21.924000Z,2024-02-20T17:29:28.496950Z,635.0,CBCT4R5Q,262,"English, French, Polish",White/Caucasian,24,Male,White,Poland,Poland,Poland,Polish,No,Part-Time
65d4df0a9ee9d686568373b0,611cf3bfe665176f184d6268,APPROVED,Not Applicable,2024-02-20T17:19:33.894000Z,2024-02-20T17:41:44.106000Z,2024-02-22T17:08:31.854000Z,2024-02-20T17:41:44.741941Z,1331.0,CBCT4R5Q,130,English,African,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
65d4df0d87d3ab033265b14a,61143bd22a1649da3b52ae32,APPROVED,Not Applicable,2024-02-20T17:19:19.900000Z,2024-02-20T17:38:37.944000Z,2024-02-22T17:08:30.118000Z,2024-02-20T17:38:38.493731Z,1159.0,CBCT4R5Q,352,English,African,24,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
65d4e0d7be5281fc3dc8f3db,6161f43ddd46e845e7b3fab8,APPROVED,Not Applicable,2024-02-20T17:26:51.239000Z,2024-02-20T17:31:48.914000Z,2024-02-22T17:08:39.685000Z,2024-02-20T17:31:49.371244Z,298.0,CBCT4R5Q,312,"English, Italian",White/Caucasian,25,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,Full-Time
65d4e0e199fcbdd5d02aebe2,5efd2964d36f63162f263795,APPROVED,Not Applicable,2024-02-20T17:26:57.224000Z,2024-02-20T17:42:11.954000Z,2024-02-22T17:08:41.975000Z,2024-02-20T17:42:12.435663Z,915.0,CBCT4R5Q,442,"Portuguese, English",White/Caucasian,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
65d4e0e257f615cc25dada8a,601705a0246e51313e8ed38e,APPROVED,Not Applicable,2024-02-20T17:26:58.062000Z,2024-02-20T17:38:39.779000Z,2024-02-22T17:08:44.498000Z,2024-02-20T17:38:40.299176Z,702.0,CBCT4R5Q,382,"Italian, English",White/Caucasian,23,Male,White,Italy,Italy,Italy,Italian,Yes,Other
65d4e0e663872618b0a1d5bc,60fdc9f430ca2fdc8043e4ae,APPROVED,Not Applicable,2024-02-20T17:28:09.729000Z,2024-02-20T17:39:51.540000Z,2024-02-22T17:09:59.065000Z,2024-02-20T17:39:52.131974Z,702.0,CBCT4R5Q,290,"English, Greek",White/Caucasian,24,Male,White,Greece,Greece,Greece,Greek,No,Unemployed (and job seeking)
65d4eb7c9930b7a969cc95f7,5eff8b9ad19111064484eff7,APPROVED,Not Applicable,2024-02-20T18:12:15.361000Z,2024-02-20T18:16:28.795000Z,2024-02-22T17:09:53.863000Z,2024-02-20T18:16:29.400104Z,254.0,CBCT4R5Q,140,"English, Latvian",White/Caucasian,21,Male,White,Latvia,Latvia,Latvia,Latvian,Yes,Unemployed (and job seeking)
65d4eb9435a8ddcc16703006,606dfc7748c0f1bccac89e20,APPROVED,Not Applicable,2024-02-20T18:12:38.650000Z,2024-02-20T18:16:24.870000Z,2024-02-22T17:09:52.309000Z,2024-02-20T18:16:25.438841Z,227.0,CBCT4R5Q,279,"English, Italian, Spanish, French",Latino/Hispanic,22,Male,Mixed,Spain,Switzerland,Spain,Spanish,Yes,Unemployed (and job seeking)
65d4eba79a6328b0ad4975e0,608030a41cd2a2d7cabbba49,APPROVED,Not Applicable,2024-02-20T18:13:09.339000Z,2024-02-20T18:28:05.802000Z,2024-02-22T17:09:50.552000Z,2024-02-20T18:28:06.326689Z,897.0,CBCT4R5Q,165,English,African,23,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
65d4ec34a8178fab17530137,5f660626a9151c19b17ba3c8,APPROVED,Not Applicable,2024-02-20T18:15:23.782000Z,2024-02-20T18:27:27.353000Z,2024-02-22T17:09:39.713000Z,2024-02-20T18:27:27.993839Z,724.0,CBCT4R5Q,235,"Italian, English",White/Caucasian,22,Male,White,Italy,Italy,Italy,Italian,Yes,Other
65d4f4871f6a8b40ed265137,5f340d1b1f6b9629f6cd3a77,APPROVED,Not Applicable,2024-02-20T18:50:49.872000Z,2024-02-20T18:57:50.449000Z,2024-02-22T17:09:38.137000Z,2024-02-20T18:57:51.031259Z,421.0,CBCT4R5Q,672,"English, Spanish, Galician",Latino/Hispanic,25,Male,White,"Venezuela, Bolivarian Republic of",Spain,Spain,Spanish,No,Full-Time
65d4f49d66303c9ecd991050,5df5143f58a5c738d0e197af,APPROVED,Not Applicable,2024-02-20T18:51:12.184000Z,2024-02-20T18:58:15.964000Z,2024-02-22T17:09:36.299000Z,2024-02-20T18:58:16.696804Z,424.0,CBCT4R5Q,699,"Polish, English",White/Caucasian,23,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
65d4f4dd58f7902ce145365a,5bfbf8f326e31d000104a6d3,APPROVED,Not Applicable,2024-02-20T18:52:13.402000Z,2024-02-20T19:01:53.619000Z,2024-02-22T17:09:32.363000Z,2024-02-20T19:01:54.210189Z,581.0,CBCT4R5Q,124,"Portuguese, English",White/Caucasian,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
65d4f4e2eaf35b5b5dccf4fb,5e79dbbf826b65000b6d87a1,APPROVED,Not Applicable,2024-02-20T18:52:18.059000Z,2024-02-20T18:59:25.354000Z,2024-02-22T17:09:29.689000Z,2024-02-20T18:59:25.819611Z,428.0,CBCT4R5Q,401,"English, Estonian",White/Caucasian,24,Male,White,Estonia,Estonia,Estonia,Estonian,Yes,Part-Time
65d4f500123565e6d2f15b37,60dbaf6d3174c6076e67da02,APPROVED,Not Applicable,2024-02-20T18:53:07.455000Z,2024-02-20T19:02:36.092000Z,2024-02-22T17:09:26.383000Z,2024-02-20T19:02:36.785335Z,569.0,CBCT4R5Q,136,"English, Spanish",Latino/Hispanic,21,Male,Other,El Salvador,United States,El Salvador,Spanish,DATA_EXPIRED,DATA_EXPIRED
65d4fcfc28e16ba8dec20586,606b7e82f4b4345be687db39,APPROVED,Not Applicable,2024-02-20T19:26:56.764000Z,2024-02-20T19:37:30.621000Z,2024-02-22T17:09:06.153000Z,2024-02-20T19:37:31.162828Z,634.0,CBCT4R5Q,153,"English, Spanish",Latino/Hispanic,25,Male,Mixed,Chile,Chile,Chile,Spanish,Yes,Part-Time
65d4fd057935ce44257cd64a,5d386317a6eb200016ac30aa,APPROVED,Not Applicable,2024-02-20T19:27:01.517000Z,2024-02-20T19:34:19.255000Z,2024-02-22T17:09:02.429000Z,2024-02-20T19:34:19.684550Z,438.0,CBCT4R5Q,249,"German, English, French, Russian, Polish",White / Sephardic Jew,23,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
65d4fd5274ace731990a2ae2,6100acb00aa378a24e5b5a09,APPROVED,Not Applicable,2024-02-20T19:28:20.638000Z,2024-02-20T19:35:37.818000Z,2024-02-22T17:09:00.425000Z,2024-02-20T19:35:38.365296Z,438.0,CBCT4R5Q,181,"English, Portuguese",White/Caucasian,22,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
65d4fd5af8df20ade2f16205,5ebc2bb14d0cc503ce2feefa,APPROVED,Not Applicable,2024-02-20T19:28:30.027000Z,2024-02-20T19:33:04.460000Z,2024-02-22T17:08:58.868000Z,2024-02-20T19:33:05.024051Z,275.0,CBCT4R5Q,153,"English, Portuguese",White / Sephardic Jew,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
65d50bd54ab00fc42490c2dd,60f06a479c4f3ec0a536d40a,APPROVED,Not Applicable,2024-02-20T20:30:30.193000Z,2024-02-20T20:36:12.117000Z,2024-02-22T17:08:56.840000Z,2024-02-20T20:36:12.993448Z,342.0,CBCT4R5Q,787,"English, Polish",White/Caucasian,22,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
65d4dee3e3e07d503f63d729,605b98c83da1ded576bcf096,APPROVED,Not Applicable,2024-02-20T17:18:27.647000Z,2024-02-20T17:24:19.215000Z,2024-02-22T17:08:15.095000Z,2024-02-20T17:24:19.738192Z,352.0,CBCT4R5Q,341,"English, German, Polish",White/Caucasian,21,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
65d4def92d6a49ce7fd53840,6011d2b8b124c219f57c707e,APPROVED,Not Applicable,2024-02-20T17:18:53.938000Z,2024-02-20T17:23:57.109000Z,2024-02-22T17:08:23.798000Z,2024-02-20T17:23:57.576667Z,304.0,CBCT4R5Q,417,"Afrikaans, English",Mixed,25,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
65d4defceab62d1a55175ed6,6171165b0a955ac648f01d30,APPROVED,Not Applicable,2024-02-20T17:18:52.706000Z,2024-02-20T17:30:11.796000Z,2024-02-22T17:08:18.684000Z,2024-02-20T17:30:12.323584Z,680.0,CBCT4R5Q,448,English,African,25,Female,Black,Uganda,South Africa,Uganda,English,No,Unemployed (and job seeking)
