Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65d37acb994f2969367c841a,5a9ddcabdbdb470001ef032d,APPROVED,Not Applicable,2024-02-19T15:59:07.965000Z,2024-02-19T16:11:06.768000Z,2024-02-20T14:50:40.601000Z,2024-02-19T16:11:07.259277Z,719.0,CBCT4R5Q,675,"Italian, French, English",White/Caucasian,48,Female,White,Italy,Italy,Italy,Italian,Yes,Part-Time
65d37ad84ffb9d9e29c001e4,5d52f3cc00691e0019494a39,APPROVED,Not Applicable,2024-02-19T15:59:25.283000Z,2024-02-19T16:05:50.630000Z,2024-02-20T14:50:39.346000Z,2024-02-19T16:05:51.479124Z,386.0,CBCT4R5Q,205,English,White/Caucasian,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
65d37bdd025602846fcde842,5a1431b35d06850001b0081d,APPROVED,Not Applicable,2024-02-19T16:03:48.580000Z,2024-02-19T16:12:40.897000Z,2024-02-20T14:50:34.772000Z,2024-02-19T16:12:41.489546Z,533.0,CBCT4R5Q,471,"Arabic, Italian, English, Gaelic",White/Caucasian,46,Female,White,Ireland,United Kingdom,Ireland,English,DATA_EXPIRED,DATA_EXPIRED
65d37c95b49dd616a1c47f44,59b53c08834a170001d609d0,APPROVED,Not Applicable,2024-02-19T16:06:49.858000Z,2024-02-19T16:26:43.924000Z,2024-02-20T14:50:28.699000Z,2024-02-19T16:26:44.474858Z,1195.0,CBCT4R5Q,583,"English, Spanish",White/Caucasian,52,Female,White,"Venezuela, Bolivarian Republic of",Spain,"Venezuela, Bolivarian Republic of",Spanish,No,Full-Time
65d37ca80470811540af261c,599ab5486b939900012da2a3,APPROVED,Not Applicable,2024-02-19T16:07:09.115000Z,2024-02-19T16:12:22.448000Z,2024-02-20T14:50:27.195000Z,2024-02-19T16:12:23.068039Z,314.0,CBCT4R5Q,319,English,White/Caucasian,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65d37cdd8a13d100bf3b1b3d,5d09122868b3000018d480f5,APPROVED,Not Applicable,2024-02-19T16:08:13.742000Z,2024-02-19T16:21:29.009000Z,2024-02-20T14:50:19.919000Z,2024-02-19T16:21:29.482204Z,796.0,CBCT4R5Q,254,English,White/Caucasian,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d37cedb49dd616a1c47f57,5c3ed18bde04ad0001d90f0c,APPROVED,Not Applicable,2024-02-19T16:09:26.989000Z,2024-02-19T16:21:19.518000Z,2024-02-20T14:50:14.366000Z,2024-02-19T16:21:20.305163Z,713.0,CBCT4R5Q,542,"Spanish, Italian, English",White / Sephardic Jew,46,Female,White,Spain,Spain,Spain,Spanish,No,Full-Time
65d37cfbcb147aad7b4d1453,5d83ce739ade5600199d448e,APPROVED,Not Applicable,2024-02-19T16:10:09.035000Z,2024-02-19T16:21:28.319000Z,2024-02-20T14:50:12.304000Z,2024-02-19T16:21:28.848983Z,680.0,CBCT4R5Q,567,"English, Italian",White/Caucasian,55,Female,White,Italy,Italy,Italy,Italian,No,Full-Time
65d37d012affa4f27ab43d0d,5e849bb9507a3503c9f3fd4c,APPROVED,Not Applicable,2024-02-19T16:08:33.576000Z,2024-02-19T16:29:12.227000Z,2024-02-20T14:50:18.045000Z,2024-02-19T16:29:12.714115Z,1239.0,CBCT4R5Q,669,"English, Italian",White/Caucasian,59,Female,White,Italy,Italy,Italy,Italian,No,Full-Time
65d37de79aaa4b0a85b5a923,646773ee52917a9524563180,APPROVED,Not Applicable,2024-02-19T16:12:23.910000Z,2024-02-19T16:20:25.756000Z,2024-02-20T14:50:03.211000Z,2024-02-19T16:20:26.251326Z,482.0,CBCT4R5Q,155,"English, Spanish",Latino/Hispanic,50,Female,Mixed,Bolivia,Canada,Canada,Spanish,No,Full-Time
65d37deaa5c5dea4c118277d,5c9c0dd4f8c3ec00018b9985,APPROVED,Not Applicable,2024-02-19T16:13:07.384000Z,2024-02-19T16:34:28.486000Z,2024-02-20T14:49:57.829000Z,2024-02-19T16:34:30.195553Z,1282.0,CBCT4R5Q,774,"English, Hungarian",White/Caucasian,57,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
65d37e066329c49a2eca5e79,5b757c58a63d84000174d8da,APPROVED,Not Applicable,2024-02-19T16:12:57.576000Z,2024-02-19T16:16:09.780000Z,2024-02-20T14:49:59.438000Z,2024-02-19T16:16:10.332945Z,193.0,CBCT4R5Q,1832,"German, English, French",White/Caucasian,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
65d37f48a523f3344b8e42aa,654fd43613ddde4c80842c50,APPROVED,Not Applicable,2024-02-19T16:18:22.085000Z,2024-02-19T16:29:22.523000Z,2024-02-20T14:49:52.808000Z,2024-02-19T16:29:23.085156Z,661.0,CBCT4R5Q,132,English,White/Caucasian,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d37f4e58baefcd2435e7ef,60f68b570ae2316894fb0a51,APPROVED,Not Applicable,2024-02-19T16:18:26.842000Z,2024-02-19T16:26:09.404000Z,2024-02-20T14:49:51.237000Z,2024-02-19T16:26:10.261837Z,463.0,CBCT4R5Q,992,English,White/Caucasian,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d37f57879eeabc2423b4b8,56366e43dc62e50011cb4ca1,APPROVED,Not Applicable,2024-02-19T16:18:41.694000Z,2024-02-19T16:37:51.930000Z,2024-02-20T14:49:45.244000Z,2024-02-19T16:39:51.593669Z,1151.0,CBCT4R5Q,370,English,White/Caucasian,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65d37f613f206ccddbfc2fc0,5f21ff288900cb4709dd49aa,APPROVED,Not Applicable,2024-02-19T16:18:41.962000Z,2024-02-19T16:30:47.832000Z,2024-02-20T14:49:42.986000Z,2024-02-19T16:30:48.395575Z,726.0,CBCT4R5Q,760,"English, Italian, Spanish",White/Caucasian,64,Female,White,Italy,Italy,Italy,Italian,No,Part-Time
65d37f6e3f016cf17ed9a057,5e277040a6a7409aa0b3b980,APPROVED,Not Applicable,2024-02-19T16:18:58.333000Z,2024-02-19T16:28:06.343000Z,2024-02-20T14:49:38.860000Z,2024-02-19T16:28:06.999558Z,549.0,CBCT4R5Q,273,English,White/Caucasian,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d3807692fc0c2d45dc515f,60662064c4e2b814215e6890,APPROVED,Not Applicable,2024-02-19T16:24:30.559000Z,2024-02-19T16:42:34.134000Z,2024-02-20T14:49:36.191000Z,2024-02-19T16:45:11.614557Z,1084.0,CBCT4R5Q,689,English,African,46,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
65d38133a13329fa714d1629,55bcd160fdf99b1c4e4ae632,APPROVED,Not Applicable,2024-02-19T16:26:32.836000Z,2024-02-19T16:34:46.140000Z,2024-02-20T14:49:29.465000Z,2024-02-19T16:34:47.710773Z,494.0,CBCT4R5Q,3846,English,White/Caucasian,56,Female,White,United States,United States,United States,English,No,Full-Time
65d38134330dc352f7c00505,5c097fbac15a020001bb0720,APPROVED,Not Applicable,2024-02-19T16:26:32.687000Z,2024-02-19T16:35:13.701000Z,2024-02-20T14:49:31.103000Z,2024-02-19T16:35:14.273342Z,522.0,CBCT4R5Q,1787,English,White/Caucasian,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
