Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
656491ac5ff1fa172b62a86e,603e66c867d4bcef6f7af649,APPROVED,2023-11-27T12:55:08.856000Z,2023-11-27T13:27:26.679000Z,2023-11-27T13:55:26.631000Z,2023-11-27T13:27:27.756047Z,1938.0,CBCT4R5Q,267,"English, Portuguese",White/Caucasian,24,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6564bbe291a670bca0366eab,5ecf78094e019f1f9aa28dd1,APPROVED,2023-11-27T15:55:14.304000Z,2023-11-27T16:06:47.343000Z,2023-11-27T16:26:02.340000Z,2023-11-27T16:06:48.096793Z,694.0,CBCT4R5Q,329,English,White/Caucasian,41,Male,White,South Africa,South Africa,South Africa,English,No,Other
6564bbe83fff62c11976bb73,5d1a2eb176fb7d0018e8e8d6,APPROVED,2023-11-27T15:56:06.326000Z,2023-11-27T16:03:25.245000Z,2023-11-27T16:26:04.219000Z,2023-11-27T16:03:25.900136Z,439.0,CBCT4R5Q,108,"English, Polish",White/Caucasian,29,Male,White,Poland,Poland,Poland,DATA_EXPIRED,No,Unemployed (and job seeking)
655b6b20ae29cb5ac29554c3,608366b0849bd619b8403de8,APPROVED,2023-11-20T14:20:16.929000Z,2023-11-20T14:29:24.846000Z,2023-11-20T15:16:51.619000Z,2023-11-20T14:29:25.271030Z,548.0,CBCT4R5Q,115,English,African,27,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
655b6b2702187c676f7f7271,5eb319c3099ed01004be6c95,APPROVED,2023-11-20T14:20:26.825000Z,2023-11-20T14:33:20.191000Z,2023-11-20T15:17:07.593000Z,2023-11-20T14:33:20.895109Z,774.0,CBCT4R5Q,266,"English, Polish",White/Caucasian,27,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
655b6b284182f04caf94e4b6,5fbc5a1bf9c7511200dd188d,APPROVED,2023-11-20T14:20:24.788000Z,2023-11-20T14:31:49.726000Z,2023-11-20T15:16:53.085000Z,2023-11-20T14:31:50.221930Z,685.0,CBCT4R5Q,345,"Portuguese, English",White/Caucasian,27,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
655b6b340deb4715fb48a743,5d779a30f80b9e00165b3772,APPROVED,2023-11-20T14:20:36.500000Z,2023-11-20T14:29:41.345000Z,2023-11-20T15:17:11.372000Z,2023-11-20T14:29:41.937400Z,545.0,CBCT4R5Q,395,"Portuguese, English",Latino/Hispanic,40,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
655b6b4e35cd298521465433,5eaabaabde4724000969d4d1,APPROVED,2023-11-20T14:23:13.673000Z,2023-11-20T14:33:48.235000Z,2023-11-20T15:17:30.602000Z,2023-11-20T14:33:48.950749Z,635.0,CBCT4R5Q,216,"English, Greek",White/Caucasian,26,Male,White,Greece,Greece,Greece,Greek,No,Unemployed (and job seeking)
655b6b4ee77ecc6ffc041d95,6057b97e8b10769df6e4635d,APPROVED,2023-11-20T14:23:15.101000Z,2023-11-20T14:37:13.323000Z,2023-11-20T15:17:31.981000Z,2023-11-20T14:37:13.790240Z,839.0,CBCT4R5Q,188,"English, Polish",White/Caucasian,28,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
655b6b5e9bfc44a1994b82af,5e5efa5dec939d23c77a4dbc,APPROVED,2023-11-20T14:21:18.393000Z,2023-11-20T14:34:48.674000Z,2023-11-20T15:17:12.882000Z,2023-11-20T14:34:49.262438Z,811.0,CBCT4R5Q,479,"Italian, English",White/Caucasian,30,Male,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
655b6b609f4be8edd9a10572,5f22f26341e9e8025879eda6,APPROVED,2023-11-20T14:21:20.280000Z,2023-11-20T14:38:25.774000Z,2023-11-20T15:17:16.410000Z,2023-11-20T14:38:26.496310Z,1026.0,CBCT4R5Q,484,English,White/Caucasian,38,Male,White,Greece,Greece,Greece,Greek,No,DATA_EXPIRED
655b6b69ef0b85da6779477e,5f904351a0209d0b4484a3a4,APPROVED,2023-11-20T14:21:32.359000Z,2023-11-20T14:32:57.750000Z,2023-11-20T15:17:19.602000Z,2023-11-20T14:32:58.251045Z,686.0,CBCT4R5Q,366,"Polish, English",White/Caucasian,34,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
